WatchCheck2
WATCH: 9|Vostok Amfibia Reef||1539095737479|
LOG: 225|9|2|1540326301529|1540326300000|DU|-273|
LOG: 226|9|2|1540389107909|1540389120000|WORN|-273|
LOG: 227|9|2|1540447662138|1540447680000|DU|-273|
LOG: 228|9|2|1540540117017|1540540140000|DU|-273|
LOG: 229|9|3|1540968010880|1540968000000|DU|-273|
LOG: 230|9|3|1541004187609|1541004180000|WORN|-273|
LOG: 231|9|3|1541055963014|1541055960000|DU|-273|
LOG: 232|9|3|1541084160331|1541084160000|DU|-273|
LOG: 233|9|3|1541141994892|1541142000000|DU|-273|
LOG: 234|9|3|1541178292675|1541178300000|DU|-273|
LOG: 235|9|3|1541333205526|1541333220000|DU|-273|
LOG: 236|9|3|1541401246293|1541401260000|DU|-273|
LOG: 237|9|3|1541439107518|1541439120000|DU|-273|
LOG: 238|9|3|1541496109015|1541496120000|DU|-273|
LOG: 239|9|3|1541526649325|1541526660000|DU|-273|
LOG: 240|9|3|1541573990293|1541574000000|DU|-273|
LOG: 241|9|3|1541614431713|1541614440000|DU|-273|
LOG: 242|9|3|1541659972813|1541659980000|DU|-273|
LOG: 243|9|3|1541695973614|1541695980000|DU|-273|
LOG: 244|9|3|1541746738524|1541746740000|DU|-273|
LOG: 245|9|3|1541783337212|1541783340000|DU|-273|
LOG: 246|9|3|1541942578822|1541942580000|WORN|-273|
LOG: 247|9|3|1542006236905|1542006240000|DU|-273|
LOG: 248|9|3|1542057296389|1542057300000|DU|-273|
